Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/async,3458,0,32,35.04307183360696,26.92380000371486,183.51929995696992,125.0,58.26288082728251,0.0,32,33,34,35,38,52,83,100,130,180,180
,Aggregated,3458,0,32,35.04307183360696,26.92380000371486,183.51929995696992,125.0,58.26288082728251,0.0,32,33,34,35,38,52,83,100,130,180,180
