Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/async,3484,0,31,34.48180307078295,26.80230000987649,171.96569999214262,125.0,58.58137184187538,0.0,31,33,33,34,39,53,77,93,160,170,170
,Aggregated,3484,0,31,34.48180307078295,26.80230000987649,171.96569999214262,125.0,58.58137184187538,0.0,31,33,33,34,39,53,77,93,160,170,170
