Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/sync,28,19,30000.0,25723.617832141048,4645.968700002413,30050.078800006304,145.46428571428572,0.5003622796279963,0.33953154689042603,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,28,19,30000.0,25723.617832141048,4645.968700002413,30050.078800006304,145.46428571428572,0.5003622796279963,0.33953154689042603,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
