Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/async,3495,0,32,33.763360200237976,26.64230001391843,145.74000000720844,125.0,58.86210491510734,0.0,32,33,33,34,37,48,66,86,130,150,150
,Aggregated,3495,0,32,33.763360200237976,26.64230001391843,145.74000000720844,125.0,58.86210491510734,0.0,32,33,33,34,37,48,66,86,130,150,150
