Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/sync,9,0,12000.0,10520.214677781849,3156.406899972353,14863.894700014498,420.44444444444446,0.3312779284872235,0.0,12000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,9,0,12000.0,10520.214677781849,3156.406899972353,14863.894700014498,420.44444444444446,0.3312779284872235,0.0,12000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000
