Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders/async,3460,0,32,36.24171395959384,26.99609997216612,459.2520999722183,125.0,58.150273240082534,0.0,32,33,34,34,38,51,86,120,400,460,460
,Aggregated,3460,0,32,36.24171395959384,26.99609997216612,459.2520999722183,125.0,58.150273240082534,0.0,32,33,34,34,38,51,86,120,400,460,460
