type,key,latency_ms,status_code,version,stale,timestamp_unix_ns,rw_interval_ms
read,key_8,22.50,200,421,false,1775452326048825900,
read,key_5,22.55,200,413,false,1775452326049344600,
read,key_0,23.79,200,414,false,1775452326049344600,
read,key_7,24.33,200,402,false,1775452326049344600,
read,key_3,25.40,200,411,false,1775452326049344600,
read,key_2,3.53,200,415,false,1775452326074749100,
write,key_7,1230.93,201,454,false,1775452326049344600,
write,key_9,1208.38,201,464,false,1775452326071898000,
write,key_3,1231.46,201,453,false,1775452326049344600,
write,key_2,1231.98,201,452,false,1775452326048825900,
write,key_6,1233.04,201,462,false,1775452326048825900,
write,key_6,1233.05,201,451,false,1775452326049344600,
read,key_1,0.53,200,424,false,1775452327281943000,
read,key_2,0.53,200,452,false,1775452327282477600,
read,key_2,3.72,200,452,false,1775452327280357600,
write,key_9,1212.68,201,461,false,1775452326071322600,
read,key_7,0.70,200,454,true,1775452327284081100,
read,key_5,0.70,200,474,false,1775452327284081100,
read,key_0,3.89,200,463,true,1775452327280889800,
read,key_3,0.63,200,453,false,1775452327284782700,
read,key_2,0.63,200,452,false,1775452327284782700,
write,key_5,1207.64,201,474,false,1775452326078277700,
read,key_9,5.11,200,473,false,1775452327280889800,
write,key_9,1212.24,201,473,false,1775452326073678000,
write,key_0,1213.30,201,463,false,1775452326073138700,
read,key_1,1.11,200,481,false,1775452327285411400,
read,key_1,1.11,200,424,false,1775452327285411400,
read,key_0,0.00,200,463,true,1775452327286519800,
read,key_5,4.33,200,474,true,1775452327284782700,
read,key_0,0.51,200,463,true,1775452327289113200,
read,key_1,3.85,200,424,false,1775452327286519800,
write,key_7,1209.95,201,495,false,1775452327283009600,
write,key_0,1212.61,201,485,false,1775452327280357600,
read,key_6,1.23,200,462,true,1775452328493043900,
read,key_4,1.23,200,494,false,1775452328493043900,
write,key_1,1211.71,201,481,false,1775452327282477600,
read,key_7,1.03,200,495,false,1775452328494271900,
write,key_2,1209.22,201,491,false,1775452327285997800,
write,key_3,1209.24,201,501,false,1775452327286519800,
write,key_5,1209.76,201,484,false,1775452327285997800,
read,key_1,1.11,200,481,true,1775452328495300200,
write,key_9,1208.03,201,511,false,1775452327290367200,
read,key_1,2.63,200,522,true,1775452328495838300,
write,key_4,1208.77,201,494,false,1775452327289620700,
read,key_5,2.81,200,515,false,1775452328496409900,
read,key_6,0.74,200,462,true,1775452328498471900,
write,key_5,1212.62,201,515,false,1775452327286519800,
write,key_3,1213.14,201,505,false,1775452327285997800,
read,key_2,0.74,200,491,false,1775452328498471900,
read,key_3,0.54,200,505,true,1775452328499215500,
read,key_5,0.54,200,515,false,1775452328499215500,
read,key_2,0.54,200,491,false,1775452328499215500,
read,key_0,0.54,200,485,false,1775452328499755800,
read,key_2,3.15,200,491,false,1775452328500296500,
write,key_1,1209.76,201,523,false,1775452328495838300,
write,key_9,1210.30,201,532,false,1775452328495300200,
write,key_1,1211.33,201,522,false,1775452328494271900,
write,key_3,1211.85,201,525,false,1775452328494271900,
read,key_9,1.05,200,542,true,1775452329705680900,
read,key_0,0.54,200,485,true,1775452329706733200,
write,key_4,1210.80,201,521,false,1775452328498471900,
write,key_6,1209.52,201,531,false,1775452328499755800,
write,key_9,1210.06,201,542,false,1775452328499215500,
read,key_4,0.82,200,541,false,1775452329709354400,
read,key_1,0.82,200,523,true,1775452329709354400,
write,key_9,1210.34,201,533,false,1775452328499755800,
read,key_8,0.51,200,421,false,1775452329710176100,
read,key_1,0.51,200,523,true,1775452329710176100,
read,key_1,0.51,200,523,true,1775452329710176100,
read,key_9,0.67,200,542,true,1775452329710682700,
write,key_5,1212.06,201,543,false,1775452328499755800,
write,key_4,1210.34,201,541,false,1775452328503442800,
read,key_1,3.18,200,554,false,1775452329710682700,
read,key_2,0.51,200,491,false,1775452329713864500,
read,key_2,0.66,200,491,false,1775452329714372900,
write,key_9,1210.20,201,553,false,1775452329706197200,
write,key_6,1209.65,201,564,false,1775452329707272400,
write,key_1,1211.84,201,554,false,1775452329705680900,
write,key_0,1212.38,201,551,false,1775452329705680900,
read,key_8,1.14,200,555,true,1775452330917000300,
write,key_0,1208.71,201,552,false,1775452329709354400,
read,key_1,0.65,200,575,true,1775452330918144600,
read,key_6,0.65,200,564,false,1775452330918144600,
read,key_9,0.65,200,553,false,1775452330918144600,
write,key_3,1207.55,201,562,false,1775452329711894300,
read,key_7,0.74,200,574,false,1775452330918789600,
write,key_8,1208.76,201,555,false,1775452329710682700,
read,key_0,0.71,200,552,true,1775452330919526400,
write,key_4,1208.34,201,565,false,1775452329713864500,
read,key_5,0.51,200,543,true,1775452330922281500,
write,key_7,1211.36,201,574,false,1775452329711353600,
write,key_1,1212.44,201,575,false,1775452329715028900,
write,key_5,1210.78,201,604,false,1775452330918789600,
write,key_0,1210.78,201,582,false,1775452330918789600,
write,key_8,1213.09,201,584,false,1775452330916479700,
write,key_5,1210.04,201,592,false,1775452330919526400,
write,key_1,1211.97,201,594,false,1775452330917600800,
write,key_5,1209.33,201,581,false,1775452330920234300,
read,key_8,1.04,200,584,false,1775452332129648100,
read,key_0,1.04,200,582,true,1775452332129648100,
read,key_4,0.71,200,614,true,1775452332130693800,
write,key_3,1213.45,201,624,false,1775452330919526400,
write,key_4,1210.19,201,614,false,1775452330922789000,
write,key_2,1210.19,201,591,false,1775452330922789000,
read,key_2,0.52,200,591,false,1775452332133060400,
read,key_1,0.52,200,594,false,1775452332133060400,
read,key_4,0.54,200,614,true,1775452332133582300,
write,key_7,1211.21,201,585,false,1775452330927549800,
read,key_2,0.52,200,591,false,1775452332138839600,
read,key_5,0.53,200,604,true,1775452332139358200,
read,key_8,7.93,200,584,false,1775452332134117500,
read,key_6,12.40,200,564,false,1775452332129648100,
read,key_5,12.47,200,604,true,1775452332130693800,
read,key_1,0.83,200,594,true,1775452332143160900,
read,key_2,0.87,200,591,false,1775452332143989100,
read,key_3,5.47,200,624,false,1775452332139887400,
write,key_7,1211.46,201,634,false,1775452332129648100,
write,key_0,1211.46,201,641,false,1775452332129648100,
write,key_4,1211.46,201,631,false,1775452332129648100,
read,key_4,1.02,200,651,false,1775452333341192900,
read,key_8,1.02,200,584,false,1775452333341192900,
write,key_9,1210.29,201,633,false,1775452332133582300,
write,key_5,1210.39,201,635,false,1775452332142048500,
write,key_0,1207.59,201,645,false,1775452332144855900,
write,key_0,1221.04,201,661,false,1775452332131401200,
write,key_4,1219.38,201,651,false,1775452332133060400,
read,key_1,0.71,200,671,false,1775452333352523300,
read,key_0,0.71,200,661,true,1775452333352523300,
read,key_4,1.03,200,651,true,1775452333353234700,
read,key_9,1.74,200,633,true,1775452333352523300,
write,key_5,1208.82,201,644,false,1775452332145363600,
read,key_6,0.51,200,564,false,1775452333354263800,
read,key_2,0.51,200,591,false,1775452333354263800,
write,key_1,1213.16,201,671,false,1775452332142048500,
read,key_3,0.00,200,624,false,1775452333355292800,
read,key_3,0.00,200,624,false,1775452333355292800,
read,key_9,2.75,200,633,true,1775452333355292800,
write,key_0,1209.71,201,683,false,1775452333343955300,
write,key_9,1211.45,201,684,false,1775452333342218100,
write,key_7,1211.45,201,694,false,1775452333342218100,
write,key_7,1212.98,201,685,false,1775452333341192900,
read,key_8,0.51,200,701,true,1775452334553743900,
read,key_5,1.03,200,644,true,1775452334553743900,
write,key_0,1208.19,201,695,false,1775452333354263800,
write,key_4,1210.17,201,682,false,1775452333353234700,
read,key_6,0.58,200,564,false,1775452334563485800,
write,key_4,1212.73,201,704,false,1775452333352523300,
write,key_8,1207.88,201,701,false,1775452333358038900,
write,key_9,1211.14,201,691,false,1775452333354770600,
write,key_7,1211.14,201,681,false,1775452333354770600,
read,key_2,0.61,200,591,true,1775452334565994600,
write,key_8,1212.55,201,715,false,1775452334553743900,
write,key_7,1212.04,201,725,false,1775452334554249000,
write,key_5,1212.04,201,712,false,1775452334554249000,
write,key_2,1211.52,201,713,false,1775452334554775600,
read,key_4,0.51,200,735,false,1775452335766372900,
read,key_4,0.51,200,735,false,1775452335766372900,
read,key_0,0.51,200,695,false,1775452335766372900,
write,key_4,1208.37,201,735,false,1775452334565333700,
write,key_1,1211.17,201,723,false,1775452334562536300,
write,key_5,1211.22,201,721,false,1775452334564062600,
write,key_9,1209.29,201,711,false,1775452334565994600,
read,key_7,0.60,200,725,false,1775452335775365400,
read,key_8,1.21,200,715,false,1775452335775962300,
read,key_1,3.39,200,723,true,1775452335773787100,
read,key_1,1.05,200,723,true,1775452335777174200,
read,key_5,1.05,200,721,false,1775452335777174200,
write,key_3,1212.15,201,745,false,1775452334565994600,
write,key_6,1211.54,201,755,false,1775452334566605100,
read,key_9,0.53,200,711,true,1775452335778227500,
read,key_3,1.06,200,745,true,1775452335778227500,
read,key_8,1.08,200,715,true,1775452335779293100,
read,key_3,3.35,200,745,true,1775452335778227500,
write,key_2,1210.99,201,764,false,1775452335766880200,
write,key_9,1211.49,201,761,false,1775452335766372900,
write,key_3,1210.99,201,774,false,1775452335766880200,
write,key_1,1211.49,201,763,false,1775452335766880200,
read,key_2,1.07,200,775,false,1775452336977948000,
read,key_5,1.07,200,721,false,1775452336977948000,
read,key_3,3.11,200,774,false,1775452336979018200,
read,key_7,0.57,200,771,false,1775452336982124900,
write,key_6,1210.49,201,765,false,1775452335773787100,
write,key_1,1209.98,201,762,false,1775452335775365400,
write,key_8,1209.14,201,784,false,1775452335778756900,
write,key_0,1209.67,201,773,false,1775452335778227500,
read,key_0,0.51,200,773,false,1775452336987977100,
read,key_4,1.04,200,735,true,1775452336987977100,
read,key_4,0.53,200,735,true,1775452336988482700,
read,key_8,0.53,200,784,false,1775452336989015100,
read,key_2,0.52,200,775,false,1775452336989548800,
write,key_2,1208.94,201,775,false,1775452335781573600,
write,key_7,1210.15,201,771,false,1775452335780370600,
write,key_1,1211.06,201,792,false,1775452336977948000,
write,key_4,1209.99,201,794,false,1775452336979018200,
write,key_9,1210.56,201,793,false,1775452336978453800,
read,key_3,0.92,200,774,false,1775452338189088800,
read,key_4,0.92,200,812,false,1775452338189088800,
read,key_0,0.81,200,773,false,1775452338190006500,
write,key_5,1206.89,201,802,false,1775452336984353000,
read,key_2,0.51,200,775,false,1775452338190817400,
write,key_4,1209.16,201,804,false,1775452336982694700,
read,key_6,0.61,200,803,true,1775452338191323700,
read,key_0,0.61,200,773,false,1775452338191323700,
read,key_7,0.54,200,771,true,1775452338191932500,
write,key_5,1210.59,201,814,false,1775452336985428100,
read,key_0,0.80,200,773,true,1775452338196097900,
write,key_8,1208.88,201,824,false,1775452336990068600,
write,key_6,1209.47,201,795,false,1775452336990596500,
write,key_4,1211.05,201,812,false,1775452336989015100,
read,key_9,3.80,200,793,true,1775452338196894400,
read,key_8,0.55,200,824,true,1775452338200144600,
read,key_6,1.05,200,803,true,1775452338200692100,
write,key_6,1211.07,201,803,false,1775452336990596500,
read,key_8,0.53,200,824,true,1775452338201743700,
write,key_0,1209.16,201,835,false,1775452338192468900,
write,key_7,1209.69,201,841,false,1775452338191932500,
write,key_9,1209.69,201,833,false,1775452338191932500,
write,key_7,1212.54,201,834,false,1775452338189088800,
write,key_8,1211.62,201,831,false,1775452338190006500,
read,key_6,0.80,200,803,true,1775452339401706900,
read,key_5,1.42,200,814,true,1775452339401706900,
read,key_2,0.54,200,881,false,1775452339403125000,
read,key_5,0.54,200,814,true,1775452339403665100,
read,key_5,0.97,200,814,true,1775452339404205500,
read,key_4,0.51,200,895,false,1775452339405178500,
read,key_1,0.65,200,792,true,1775452339405684800,
write,key_9,1209.93,201,832,false,1775452338200692100,
read,key_1,0.64,200,903,false,1775452339410697800,
write,key_4,1218.76,201,851,false,1775452338200144600,
write,key_2,1219.88,201,881,false,1775452338199030100,
write,key_7,1217.16,201,871,false,1775452338201743700,
write,key_3,1216.63,201,861,false,1775452338202274600,
read,key_9,0.53,200,833,true,1775452339418988100,
read,key_7,1.61,200,871,true,1775452339418988100,
write,key_5,1211.67,201,893,false,1775452339401706900,
write,key_4,1211.67,201,895,false,1775452339401706900,
write,key_1,1210.87,201,903,false,1775452339402507200,
write,key_3,1211.67,201,891,false,1775452339401706900,
read,key_0,0.72,200,894,true,1775452340613455400,
write,key_7,1208.83,201,901,false,1775452339406339300,
read,key_2,2.33,200,881,false,1775452340613455400,
read,key_3,4.15,200,904,false,1775452340614177200,
write,key_4,1207.95,201,892,false,1775452339411336800,
read,key_8,0.92,200,831,false,1775452340619367400,
read,key_5,0.51,200,913,true,1775452340620284700,
read,key_0,2.47,200,894,true,1775452340618324900,
read,key_6,1.14,200,803,true,1775452340620792000,
read,key_6,1.14,200,803,true,1775452340620792000,
read,key_7,0.51,200,901,true,1775452340621932000,
write,key_3,1208.84,201,904,false,1775452339419519900,
write,key_0,1209.38,201,894,false,1775452339418988100,
read,key_9,1.02,200,833,true,1775452340628443000,
write,key_5,1210.40,201,913,false,1775452339418988100,
write,key_1,1210.97,201,905,false,1775452339420597400,
read,key_7,0.95,200,901,true,1775452340631651900,
read,key_8,2.95,200,831,false,1775452340632605700,
read,key_1,0.51,200,905,true,1775452340635553800,
read,key_7,0.62,200,901,true,1775452340636060000,
read,key_2,0.52,200,881,false,1775452340636680700,
read,key_3,0.00,200,904,true,1775452340637200300,
read,key_9,1.65,200,833,true,1775452340637200300,
write,key_7,1209.90,201,922,false,1775452340615250300,
write,key_5,1211.69,201,925,false,1775452340613455400,
write,key_0,1211.69,201,923,false,1775452340613455400,
write,key_1,1210.38,201,921,false,1775452340615790000,
read,key_7,1.06,200,922,false,1775452341826251000,
write,key_5,1209.47,201,932,false,1775452340621932000,
write,key_4,1208.96,201,924,false,1775452340622437100,
write,key_4,1209.67,201,934,false,1775452340629463700,
write,key_3,1210.69,201,931,false,1775452340628443000,
read,key_4,0.50,200,941,true,1775452341839213300,
read,key_0,0.50,200,923,false,1775452341839213300,
write,key_4,1212.65,201,941,false,1775452340629463700,
read,key_0,0.71,200,923,false,1775452341842193200,
read,key_1,2.67,200,953,false,1775452341842908300,
read,key_7,0.51,200,922,true,1775452341845578600,
read,key_2,0.61,200,881,false,1775452341846086100,
write,key_3,1208.30,201,933,false,1775452340638847300,
read,key_6,1.01,200,963,false,1775452341847221400,
read,key_1,1.04,200,953,false,1775452341848231100,
read,key_2,0.53,200,881,true,1775452341849271300,
read,key_7,0.65,200,922,true,1775452341849805300,
read,key_4,0.57,200,941,true,1775452341850457400,
write,key_6,1212.30,201,955,false,1775452341825226500,
write,key_1,1212.30,201,953,false,1775452341825226500,
write,key_3,1212.30,201,965,false,1775452341825226500,
write,key_7,1213.84,201,975,false,1775452341827310100,
write,key_4,1209.67,201,954,false,1775452341831481500,
write,key_9,1210.18,201,951,false,1775452341831481500,
write,key_8,1209.66,201,961,false,1775452341839717600,
write,key_6,1209.66,201,963,false,1775452341839717600,
read,key_1,0.50,200,973,true,1775452343049460800,
read,key_1,0.50,200,995,false,1775452343049460800,
read,key_7,0.87,200,1001,false,1775452343049965000,
write,key_2,1209.08,201,964,false,1775452341846699900,
read,key_5,0.67,200,932,false,1775452343055862000,
read,key_6,0.60,200,963,true,1775452343056528800,
write,key_1,1210.15,201,973,false,1775452341851029600,
write,key_4,1212.32,201,983,false,1775452343037607700,
write,key_1,1208.70,201,995,false,1775452343041232000,
write,key_7,1212.32,201,985,false,1775452343037607700,
read,key_2,1.02,200,964,false,1775452344250007800,
write,key_3,1209.72,201,991,false,1775452343041232000,
write,key_6,1213.34,201,981,false,1775452343037607700,
write,key_7,1209.21,201,1001,false,1775452343041739400,
read,key_8,1.30,200,994,false,1775452344251029200,
write,key_9,1209.64,201,984,false,1775452343049965000,
write,key_1,1209.33,201,993,false,1775452343050834200,
write,key_8,1210.55,201,994,false,1775452343057131900,
read,key_1,0.99,200,995,true,1775452344267764300,
write,key_0,1208.92,201,1004,false,1775452343061261400,
read,key_6,2.34,200,981,true,1775452344270264600,
write,key_9,1211.67,201,1011,false,1775452344251029200,
write,key_6,1211.67,201,1031,false,1775452344251029200,
write,key_7,1211.67,201,1021,false,1775452344251029200,
write,key_7,1212.69,201,1012,false,1775452344250007800,
write,key_6,1212.69,201,1015,false,1775452344250007800,
read,key_7,1.31,200,1025,false,1775452345462774900,
read,key_7,1.31,200,1025,true,1775452345462774900,
write,key_9,1210.90,201,1013,false,1775452344259686100,
write,key_5,1218.25,201,1014,false,1775452344252332900,
read,key_0,0.00,200,1004,false,1775452345470664100,
write,key_7,1210.34,201,1022,false,1775452344260244800,
read,key_9,1.93,200,1013,false,1775452345470664100,
read,key_8,2.56,200,994,true,1775452345470664100,
write,key_7,1208.96,201,1025,false,1775452344268755300,
write,key_6,1207.15,201,1032,false,1775452344272607900,
read,key_5,3.23,200,1014,true,1775452345477799300,
read,key_3,0.71,200,991,false,1775452345481035300,
read,key_2,0.61,200,964,false,1775452345481749100,
read,key_5,0.51,200,1014,true,1775452345482357300,
write,key_6,1214.26,201,1041,false,1775452345462774900,
write,key_8,1214.26,201,1045,false,1775452345462774900,
write,key_7,1212.95,201,1051,false,1775452345464086100,
write,key_5,1212.95,201,1052,false,1775452345464086100,
write,key_6,1214.26,201,1042,false,1775452345462774900,
write,key_1,1209.43,201,1043,false,1775452345470664100,
read,key_8,0.53,200,1045,false,1775452346680173400,
read,key_6,4.59,200,1061,true,1775452346677118500,
write,key_9,1208.93,201,1062,false,1775452345473221700,
write,key_6,1209.56,201,1061,false,1775452345472594100,
write,key_9,1208.03,201,1044,false,1775452345479838300,
write,key_9,1212.35,201,1055,false,1775452345482867000,
write,key_3,1212.02,201,1073,false,1775452346677118500,
write,key_6,1212.02,201,1075,false,1775452346677118500,
write,key_3,1212.55,201,1074,false,1775452346677118500,
write,key_2,1208.01,201,1082,false,1775452346682229200,
