type,key,latency_ms,status_code,version,stale,timestamp_unix_ns,rw_interval_ms
read,key_9,23.39,404,0,false,1775452309793734900,
read,key_7,22.86,404,0,false,1775452309794263900,
read,key_1,22.86,404,0,false,1775452309794263900,
read,key_4,22.86,404,0,false,1775452309794263900,
read,key_8,22.86,404,0,false,1775452309794263900,
read,key_8,22.86,404,0,false,1775452309794263900,
read,key_0,23.90,404,0,false,1775452309793734900,
read,key_0,24.46,404,0,false,1775452309793734900,
read,key_4,24.48,404,0,false,1775452309794263900,
read,key_8,26.08,404,0,false,1775452309794263900,
read,key_6,4.27,404,0,false,1775452309817129200,
read,key_1,4.80,404,0,false,1775452309817129200,
read,key_0,4.82,404,0,false,1775452309817635600,
read,key_6,5.86,404,0,false,1775452309817129200,
read,key_6,7.47,404,0,false,1775452309817129200,
read,key_7,8.72,404,0,false,1775452309817635600,
read,key_7,9.73,404,0,false,1775452309817129200,
read,key_4,8.91,404,0,false,1775452309818749700,
read,key_9,9.46,404,0,false,1775452309818198000,
read,key_9,9.31,404,0,false,1775452309820345700,
read,key_0,8.76,404,0,false,1775452309821401200,
read,key_7,8.75,404,0,false,1775452309821928700,
read,key_0,9.30,404,0,false,1775452309822456000,
read,key_4,9.30,404,0,false,1775452309822991500,
read,key_7,8.23,404,0,false,1775452309824596900,
read,key_4,6.22,404,0,false,1775452309827662000,
read,key_4,8.07,404,0,false,1775452309826863000,
read,key_6,7.86,404,0,false,1775452309827662000,
read,key_2,9.18,404,0,false,1775452309826863000,
read,key_9,6.92,404,0,false,1775452309829652700,
read,key_8,7.88,404,0,false,1775452309830159300,
read,key_5,7.93,404,0,false,1775452309830680600,
read,key_2,7.39,404,0,false,1775452309831757700,
read,key_4,7.94,404,0,false,1775452309832290100,
read,key_4,8.93,404,0,false,1775452309832825900,
read,key_3,8.01,404,0,false,1775452309834415800,
read,key_3,8.66,404,0,false,1775452309834934700,
read,key_6,9.20,404,0,false,1775452309835523300,
read,key_7,8.68,404,0,false,1775452309836045700,
read,key_7,8.67,404,0,false,1775452309836572000,
read,key_6,8.26,404,0,false,1775452309838043300,
read,key_4,8.23,404,0,false,1775452309838615700,
read,key_4,8.79,404,0,false,1775452309839147200,
read,key_1,6.18,404,0,false,1775452309841755300,
read,key_3,8.43,404,0,false,1775452309840234500,
read,key_0,7.31,404,0,false,1775452309842426300,
read,key_0,6.67,404,0,false,1775452309843599200,
read,key_9,6.61,404,0,false,1775452309844725900,
read,key_2,7.16,404,0,false,1775452309844725900,
read,key_1,7.70,404,0,false,1775452309845243500,
read,key_3,7.17,404,0,false,1775452309846304800,
read,key_6,7.70,404,0,false,1775452309846851800,
read,key_1,7.13,404,0,false,1775452309847935000,
read,key_1,10.14,404,0,false,1775452309847935000,
read,key_0,9.92,404,0,false,1775452309848669900,
read,key_2,10.14,404,0,false,1775452309849740800,
read,key_3,10.69,404,0,false,1775452309850271300,
read,key_2,9.62,404,0,false,1775452309851338400,
read,key_3,10.41,404,0,false,1775452309851881900,
read,key_9,11.95,404,0,false,1775452309852942500,
read,key_7,12.52,404,0,false,1775452309853479000,
