type,key,latency_ms,status_code,version,stale,timestamp_unix_ns,rw_interval_ms
read,key_5,18.98,404,0,false,1775452312232169000,
read,key_4,19.49,200,33,false,1775452312232169000,
read,key_2,20.02,404,0,false,1775452312232169000,
read,key_4,21.97,200,33,false,1775452312232169000,
read,key_4,22.48,200,33,false,1775452312232169000,
read,key_5,0.51,404,0,false,1775452312254140000,
read,key_6,23.00,200,24,false,1775452312232169000,
read,key_7,23.54,200,23,false,1775452312232687800,
read,key_7,1.06,200,23,false,1775452312255168400,
read,key_3,0.62,404,0,false,1775452312256231400,
read,key_8,25.22,200,62,false,1775452312232169000,
read,key_4,7.32,200,33,false,1775452312251153600,
read,key_5,7.87,404,0,false,1775452312251662000,
read,key_8,1.08,404,0,false,1775452312259537500,
read,key_7,8.42,200,23,false,1775452312252194200,
read,key_6,1.02,200,24,false,1775452312260614000,
read,key_6,1.02,200,24,false,1775452312260614000,
read,key_0,0.51,404,0,false,1775452312261631100,
read,key_7,0.51,200,23,false,1775452312261631100,
read,key_1,8.12,200,53,false,1775452312254648200,
read,key_0,0.63,404,0,false,1775452312262136800,
read,key_6,0.63,200,24,false,1775452312262136800,
read,key_1,0.00,200,53,false,1775452312262771500,
read,key_4,1.34,200,33,false,1775452312262771500,
read,key_6,7.88,200,24,false,1775452312256231400,
read,key_7,0.55,200,23,false,1775452312264109500,
read,key_7,8.31,200,23,false,1775452312256853900,
read,key_2,1.06,404,0,false,1775452312264109500,
read,key_1,1.65,200,53,false,1775452312264655600,
read,key_6,1.02,200,24,false,1775452312266306200,
read,key_9,9.93,404,0,false,1775452312257395300,
read,key_9,0.51,404,0,false,1775452312267323200,
read,key_4,9.90,200,33,false,1775452312258474100,
read,key_0,0.54,404,0,false,1775452312267830500,
read,key_7,6.66,200,23,false,1775452312262771500,
read,key_8,7.72,404,0,false,1775452312262771500,
read,key_1,3.18,200,53,false,1775452312268373600,
read,key_0,0.69,404,0,false,1775452312271550400,
read,key_9,7.69,404,0,false,1775452312265169600,
read,key_8,0.54,404,0,false,1775452312272858200,
read,key_2,7.59,404,0,false,1775452312267323200,
read,key_1,1.04,200,53,false,1775452312274915000,
read,key_2,7.58,404,0,false,1775452312268373600,
read,key_9,7.57,404,0,false,1775452312269432600,
read,key_7,7.04,200,23,false,1775452312270496300,
read,key_0,1.13,404,0,false,1775452312277534800,
read,key_7,6.43,200,23,false,1775452312272238700,
read,key_2,0.82,200,63,false,1775452312278668300,
read,key_1,0.82,200,53,false,1775452312278668300,
read,key_9,6.09,404,0,false,1775452312273396900,
read,key_5,0.51,404,0,false,1775452312279490400,
read,key_1,0.51,200,53,false,1775452312279490400,
read,key_2,1.04,404,0,false,1775452312279490400,
read,key_8,1.06,200,62,true,1775452312279999800,
read,key_3,0.63,404,0,false,1775452312281064300,
read,key_3,1.16,404,0,false,1775452312280535700,
read,key_7,6.81,200,23,false,1775452312275955400,
read,key_5,1.59,404,0,false,1775452312281696600,
read,key_0,6.83,404,0,false,1775452312277003200,
read,key_7,5.48,200,23,false,1775452312281696600,
read,key_0,2.58,200,61,false,1775452312287174400,
read,key_4,7.49,200,33,false,1775452312282768400,
